month,begin_balance,sched_principal,prepayment,total_principal,interest,total_cash,end_balance,CPR,SMM
120,5701994.632888654,-72802.80141236859,29699.857305788384,-43102.9441065802,24328.51043365826,-18774.433672921943,5745097.576995234,0.06,0.005143012831822946
121,5745097.576995234,-72986.70730722332,29922.48213079496,-43064.22517642836,24512.416328512998,-18551.80884791536,5788161.802171662,0.06,0.005143012831822946
122,5788161.802171662,-73170.44800130941,30144.906974217258,-43025.54102709216,24696.157022599094,-18329.384004493062,5831187.343198755,0.06,0.005143012831822946
123,5831187.343198755,-73354.02364302502,30367.132015696672,-42986.891627328354,24879.732664314688,-18107.158963013666,5874174.234826083,0.06,0.005143012831822946
124,5874174.234826083,-73537.43438063495,30589.157434713226,-42948.27694592172,25063.143401924623,-17885.1335439971,5917122.511772005,0.06,0.005143012831822946
125,5917122.511772005,-73720.68036227088,30810.983410585723,-42909.69695168516,25246.389383560556,-17663.307568124605,5960032.20872369,0.06,0.005143012831822946
126,5960032.20872369,-73903.7617359314,31032.610122471873,-42871.15161345953,25429.47075722108,-17441.68085623845,6002903.36033715,0.06,0.005143012831822946
127,6002903.36033715,-74086.67864948217,31254.03774936848,-42832.64090011369,25612.38767077184,-17220.25322934185,6045736.001237264,0.06,0.005143012831822946
128,6045736.001237264,-74269.431250656,31475.26647011151,-42794.16478054448,25795.14027194566,-16999.02450859882,6088530.166017808,0.06,0.005143012831822946
129,6088530.166017808,-74452.01968705298,31696.296463376326,-42755.72322367665,25977.72870834265,-16777.994515334,6131285.889241485,0.06,0.005143012831822946
130,6131285.889241485,-74634.44410614067,31917.127907677776,-42717.3161984629,26160.153127430338,-16557.16307103256,6174003.205439948,0.06,0.005143012831822946
131,6174003.205439948,-74816.7046552541,32137.76098137033,-42678.94367388377,26342.413676543776,-16336.529997339992,6216682.149113831,0.06,0.005143012831822946
132,6216682.149113831,-74998.801481596,32358.195862648274,-42640.60561894773,26524.51050288568,-16116.09511606205,6259322.754732779,0.06,0.005143012831822946
133,6259322.754732779,-75180.73473223686,32578.432729545806,-42602.30200269105,26706.443753526524,-15895.858249164528,6301925.05673547,0.06,0.005143012831822946
134,6301925.05673547,-75362.504554115,32798.4717599372,-42564.0327941778,26888.213575404672,-15675.81921877313,6344489.0895296475,0.06,0.005143012831822946
135,6344489.0895296475,-75544.11109403682,33018.31313153695,-42525.79796249988,27069.820115326496,-15455.97784717338,6387014.887492147,0.06,0.005143012831822946
136,6387014.887492147,-75725.55449867682,33237.95702189991,-42487.597476776915,27251.263519966495,-15236.33395681042,6429502.484968924,0.06,0.005143012831822946
137,6429502.484968924,-75906.83491457773,33457.40360842144,-42449.43130615629,27432.54393586741,-15016.887370288885,6471951.91627508,0.06,0.005143012831822946
138,6471951.91627508,-76087.95248815067,33676.65306833754,-42411.29941981313,27613.661509440342,-14797.637910372785,6514363.215694893,0.06,0.005143012831822946
139,6514363.215694893,-76268.9073656752,33895.70557872501,-42373.201786950194,27794.616386964877,-14578.585399985317,6556736.417481843,0.06,0.005143012831822946
140,6556736.417481843,-76449.69969329952,34114.56131650159,-42335.138376797935,27975.4087145892,-14359.729662208734,6599071.555858641,0.06,0.005143012831822946
141,6599071.555858641,-76630.32961704052,34333.22045842606,-42297.10915861446,28156.038638330203,-14141.070520284258,6641368.665017256,0.06,0.005143012831822946
142,6641368.665017256,-76810.79728278395,34551.68318109849,-42259.11410168547,28336.506304073624,-13922.607797611843,6683627.779118941,0.06,0.005143012831822946
143,6683627.779118941,-76991.10283628448,34769.94966096023,-42221.15317532425,28516.81185757415,-13704.341317750102,6725848.932294265,0.06,0.005143012831822946
144,6725848.932294265,-77171.24642316587,34988.02007429418,-42183.226348871685,28696.955444455532,-13486.270904416153,6768032.158643137,0.06,0.005143012831822946
145,6768032.158643137,-77351.22818892104,35205.89459722489,-42145.33359169615,28876.93721021072,-13268.396381485432,6810177.492234833,0.06,0.005143012831822946
146,6810177.492234833,-77531.04827891228,35423.573405718686,-42107.47487319359,29056.757300201953,-13050.717572991638,6852284.967108026,0.06,0.005143012831822946
147,6852284.967108026,-77710.70683837123,35641.05667558383,-42069.6501627874,29236.415859660912,-12833.23430312649,6894354.617270813,0.06,0.005143012831822946
148,6894354.617270813,-77890.20401239913,35858.34458247065,-42031.85942992848,29415.913033688805,-12615.946396239677,6936386.476700742,0.06,0.005143012831822946
149,6936386.476700742,-78069.53994596683,36075.437301871694,-41994.10264409513,29595.2489672565,-12398.853676838633,6978380.579344837,0.06,0.005143012831822946
150,6978380.579344837,-78248.71478391497,36292.335009121874,-41956.379774793095,29774.42380520464,-12181.955969588456,7020336.95911963,0.06,0.005143012831822946
151,7020336.95911963,-78427.72867095408,36509.03787939858,-41918.6907915555,29953.437692243755,-11965.253099311743,7062255.649911186,0.06,0.005143012831822946
152,7062255.649911186,-78606.58175166472,36725.54608772188,-41881.03566394284,30132.290772954395,-11748.744890988448,7104136.6855751285,0.06,0.005143012831822946
153,7104136.6855751285,-78785.27417049755,36941.85980895458,-41843.41436154297,30310.983191787218,-11532.431169755753,7145980.099936672,0.06,0.005143012831822946
154,7145980.099936672,-78963.80607177346,37157.97921780243,-41805.82685397103,30489.51509306313,-11316.311760907902,7187785.926790643,0.06,0.005143012831822946
155,7187785.926790643,-79142.17759968374,37373.904488814245,-41768.27311086949,30667.88662097341,-11100.386489896082,7229554.199901512,0.06,0.005143012831822946
156,7229554.199901512,-79320.38889829011,37589.63579638204,-41730.75310190807,30846.097919579785,-10884.655182328286,7271284.95300342,0.06,0.005143012831822946
157,7271284.95300342,-79498.44011152492,37805.17331474118,-41693.26679678374,31024.149132814593,-10669.117663969148,7312978.219800203,0.06,0.005143012831822946
158,7312978.219800203,-79676.3313831912,38020.5172179705,-41655.8141652207,31202.040404480867,-10453.77376073983,7354634.033965424,0.06,0.005143012831822946
159,7354634.033965424,-79854.0628569628,38235.66767999249,-41618.39517697031,31379.771878252475,-10238.623298717837,7396252.429142394,0.06,0.005143012831822946
160,7396252.429142394,-80031.63467638454,38450.62487457338,-41581.00980181115,31557.343697674216,-10023.666104136937,7437833.438944206,0.06,0.005143012831822946
161,7437833.438944206,-80209.04698487227,38665.38897532333,-41543.65800954894,31734.756006161944,-9808.902003386997,7479377.096953754,0.06,0.005143012831822946
162,7479377.096953754,-80386.29992571301,38879.96015569652,-41506.33977001649,31912.008947002687,-9594.330823013806,7520883.436723771,0.06,0.005143012831822946
163,7520883.436723771,-80563.39364206509,39094.338588991355,-41469.05505307373,32089.102663354755,-9379.952389718976,7562352.4917768445,0.06,0.005143012831822946
164,7562352.4917768445,-80740.3282769582,39308.52444835054,-41431.80382860766,32266.037298247873,-9165.76653035979,7603784.295605452,0.06,0.005143012831822946
165,7603784.295605452,-80917.10397329359,39522.51790676124,-41394.58606653235,32442.812994583262,-8951.773071949086,7645178.881671984,0.06,0.005143012831822946
166,7645178.881671984,-81093.72087384413,39736.31913705526,-41357.40173678887,32619.4298951338,-8737.971841655068,7686536.283408772,0.06,0.005143012831822946
167,7686536.283408772,-81270.17912125442,39949.928311909134,-41320.250809345285,32795.8881425441,-8524.362666801186,7727856.534218118,0.06,0.005143012831822946
168,7727856.534218118,-81446.47885804097,40163.34560384428,-41283.133254196684,32972.18787933064,-8310.945374866045,7769139.667472314,0.06,0.005143012831822946
169,7769139.667472314,-81622.6202265922,40376.57118522714,-41246.04904136506,33148.32924788188,-8097.719793483186,7810385.716513679,0.06,0.005143012831822946
170,7810385.716513679,-81798.6033691687,40589.60522826934,-41208.99814089936,33324.31239045837,-7884.685750440993,7851594.714654579,0.06,0.005143012831822946
171,7851594.714654579,-81974.4284279032,40802.44790502778,-41171.98052287542,33500.13744919287,-7671.843073682547,7892766.6951774545,0.06,0.005143012831822946
172,7892766.6951774545,-82150.0955448008,41015.09938740483,-41134.99615739597,33675.804566090475,-7459.191591305498,7933901.69133485,0.06,0.005143012831822946
173,7933901.69133485,-82325.60486173903,41227.55984714842,-41098.045014590614,33851.3138830287,-7246.731131561915,7974999.736349441,0.06,0.005143012831822946
174,7974999.736349441,-82500.95652046794,41439.829455852225,-41061.12706461571,34026.66554175762,-7034.461522858095,8016060.863414057,0.06,0.005143012831822946
175,8016060.863414057,-82676.15066261031,41651.90838495575,-41024.24227765456,34201.85968389997,-6822.382593754584,8057085.105691711,0.06,0.005143012831822946
176,8057085.105691711,-82851.18742966163,41863.79680574453,-40987.3906239171,34376.8964509513,-6610.494172965795,8098072.496315628,0.06,0.005143012831822946
177,8098072.496315628,-83026.06696299034,42075.4948893502,-40950.57207364014,34551.775984280015,-6398.796089360127,8139023.068389269,0.06,0.005143012831822946
178,8139023.068389269,-83200.78940383787,42287.002806750716,-40913.78659708716,34726.498425127545,-6187.288171959612,8179936.854986356,0.06,0.005143012831822946
179,8179936.854986356,-83375.35489331878,42498.32072877039,-40877.03416454839,34901.06391460845,-5975.970249939943,8220813.8891509045,0.06,0.005143012831822946
180,8220813.8891509045,-83549.76357242085,42709.44882608014,-40840.314746340715,35075.472593710525,-5764.84215263019,8261654.203897245,0.06,0.005143012831822946
181,8261654.203897245,-83724.01558200523,42920.38726919752,-40803.62831280771,35249.72460329491,-5553.903709512801,8302457.832210053,0.06,0.005143012831822946
182,8302457.832210053,-83898.11106280655,43131.13622848694,-40766.97483431961,35423.82008409622,-5343.154750223388,8343224.807044372,0.06,0.005143012831822946
183,8343224.807044372,-84072.05015543298,43341.695874159785,-40730.3542812732,35597.759176722655,-5132.595104550543,8383955.161325645,0.06,0.005143012831822946
184,8383955.161325645,-84245.83300036642,43552.0663762745,-40693.76662409191,35771.54202165609,-4922.224602435825,8424648.927949736,0.06,0.005143012831822946
185,8424648.927949736,-84419.45973796253,43762.24790473682,-40657.211833225716,35945.16875925221,-4712.043073973509,8465306.139782961,0.06,0.005143012831822946
186,8465306.139782961,-84592.93050845095,43972.24062929981,-40620.68987915114,36118.639529740634,-4502.050349410507,8505926.829662113,0.06,0.005143012831822946
187,8505926.829662113,-84766.24545193533,44182.044719564066,-40584.20073237127,36291.954473225014,-4292.246259146254,8546511.030394483,0.06,0.005143012831822946
188,8546511.030394483,-84939.40470839346,44391.66034497785,-40547.74436341561,36465.11372968313,-4082.6306337324786,8587058.7747579,0.06,0.005143012831822946
189,8587058.7747579,-85112.40841767736,44601.087674837174,-40511.32074284019,36638.11743896704,-3873.203303873146,8627570.09550074,0.06,0.005143012831822946
190,8627570.09550074,-85285.25671951348,44810.326878285996,-40474.92984122748,36810.965740803156,-3663.964100424324,8668045.025341967,0.06,0.005143012831822946
191,8668045.025341967,-85457.94975350272,45019.37812431633,-40438.57162918639,36983.65877479239,-3454.912854393995,8708483.596971154,0.06,0.005143012831822946
192,8708483.596971154,-85630.48765912058,45228.24158176841,-40402.246077352174,37156.19668041026,-3246.0493969419113,8748885.843048505,0.06,0.005143012831822946
193,8748885.843048505,-85802.87057571729,45436.91741933073,-40365.95315638655,37328.57959700696,-3037.3735593795936,8789251.796204893,0.06,0.005143012831822946
194,8789251.796204893,-85975.09864251787,45645.40580554036,-40329.69283697751,37500.80766380754,-2828.8851731699688,8829581.48904187,0.06,0.005143012831822946
195,8829581.48904187,-86147.1719986223,45853.706908782864,-40293.46508983944,37672.88101991198,-2620.584069927456,8869874.95413171,0.06,0.005143012831822946
196,8869874.95413171,-86319.09078300562,46061.82089729264,-40257.26988571299,37844.7998042953,-2412.4700814176904,8910132.224017423,0.06,0.005143012831822946
197,8910132.224017423,-86490.855134518,46269.7479391529,-40221.107195365104,38016.564155807675,-2204.5430395574294,8950353.331212787,0.06,0.005143012831822946
198,8950353.331212787,-86662.46519188488,46477.488202295885,-40184.976989589,38188.174213174556,-1996.8027764144426,8990538.308202377,0.06,0.005143012831822946
199,8990538.308202377,-86833.92109370713,46685.041854503026,-40148.87923920411,38359.630114996806,-1789.249124207301,9030687.18744158,0.06,0.005143012831822946
200,9030687.18744158,-87005.22297846107,46892.409063404964,-40112.813915056104,38530.93199975074,-1581.8819153053628,9070800.001356635,0.06,0.005143012831822946
201,9070800.001356635,-87176.37098449864,47099.58999648181,-40076.780988016835,38702.08000578831,-1374.7009822285254,9110876.782344652,0.06,0.005143012831822946
202,9110876.782344652,-87347.36525004751,47306.584821063225,-40040.78042898429,38873.07427133719,-1167.7061576471024,9150917.562773637,0.06,0.005143012831822946
203,9150917.562773637,-87518.20591321119,47513.39370432854,-40004.81220888265,39043.914934500855,-960.897274381794,9190922.374982521,0.06,0.005143012831822946
204,9190922.374982521,-87688.89311196908,47720.01681330694,-39968.876298662144,39214.602133258755,-754.2741654033889,9230891.251281183,0.06,0.005143012831822946
205,9230891.251281183,-87859.42698417671,47926.45431487753,-39932.97266929918,39385.13600546638,-547.8366638328007,9270824.223950483,0.06,0.005143012831822946
206,9270824.223950483,-88029.80766756572,48132.70637576954,-39897.10129179618,39555.516688855394,-341.58460294078395,9310721.32524228,0.06,0.005143012831822946
207,9310721.32524228,-88200.03529974405,48338.773162562415,-39861.262137181635,39725.74432103373,-135.51781614790525,9350582.587379461,0.06,0.005143012831822946
208,9350582.587379461,-88370.11001819602,48544.65484168596,-39825.45517651006,39895.8190394857,70.36386297563877,9390408.042555971,0.06,0.005143012831822946
209,9390408.042555971,-88540.03196028247,48750.3515794205,-39789.68038086197,40065.74098157215,276.0606007101742,9430197.722936833,0.06,0.005143012831822946
210,9430197.722936833,-88709.80126324082,48955.86354189697,-39753.93772134385,40235.510284530494,481.5725631866444,9469951.660658177,0.06,0.005143012831822946
211,9469951.660658177,-88879.41806418521,49161.19089509708,-39718.22716908813,40405.12708547489,686.8999163867556,9509669.887827266,0.06,0.005143012831822946
212,9509669.887827266,-89048.88250010667,49366.33380485345,-39682.54869525322,40574.59152139634,892.0428261431152,9549352.43652252,0.06,0.005143012831822946
213,9549352.43652252,-89218.19470787307,49571.2924368497,-39646.90227102338,40743.903729162754,1097.001458139377,9588999.338793542,0.06,0.005143012831822946
214,9588999.338793542,-89387.35482422943,49776.06695662066,-39611.28786760877,40913.063845519115,1301.7759779103435,9628610.626661152,0.06,0.005143012831822946
215,9628610.626661152,-89556.36298579791,49980.65752955243,-39575.70545624548,41082.07200708758,1506.3665508421036,9668186.332117397,0.06,0.005143012831822946
216,9668186.332117397,-89725.2193290779,50185.06432088257,-39540.155008195325,41250.92835036756,1710.7733421722369,9707726.487125592,0.06,0.005143012831822946
217,9707726.487125592,-89893.92399044619,50389.2874957002,-39504.63649474599,41419.63301173586,1914.9965169898715,9747231.123620339,0.06,0.005143012831822946
218,9747231.123620339,-90062.47710615711,50593.32721894613,-39469.14988721098,41588.18612744678,2119.0362402358005,9786700.27350755,0.06,0.005143012831822946
219,9786700.27350755,-90230.87881234255,50797.183655413006,-39433.69515692954,41756.58783363222,2322.8926767026787,9826133.96866448,0.06,0.005143012831822946
220,9826133.96866448,-90399.12924501211,51000.85696974548,-39398.27227526663,41924.838266301784,2526.5659910351533,9865532.240939748,0.06,0.005143012831822946
221,9865532.240939748,-90567.22854005324,51204.34732644024,-39362.881213613,42092.93756134292,2730.056347729922,9904895.12215336,0.06,0.005143012831822946
222,9904895.12215336,-90735.17683323134,51407.65488984627,-39327.521943385065,42260.88585452101,2933.3639111359444,9944222.644096745,0.06,0.005143012831822946
223,9944222.644096745,-90902.97426018977,51610.7798241649,-39292.194436024874,42428.68328147945,3136.4888454545726,9983514.83853277,0.06,0.005143012831822946
224,9983514.83853277,-91070.62095645015,51813.72229344994,-39256.89866300021,42596.32997773982,3339.4313147396097,10022771.737195771,0.06,0.005143012831822946
225,10022771.737195771,-91238.11705741228,52016.482461607855,-39221.634595804426,42763.82607870196,3542.191482897535,10061993.371791575,0.06,0.005143012831822946
226,10061993.371791575,-91405.46269835439,52219.06049239786,-39186.402205956525,42931.17171964406,3744.7695136875336,10101179.773997532,0.06,0.005143012831822946
227,10101179.773997532,-91572.65801443314,52421.456549432085,-39151.20146500105,43098.367035722804,3947.1655707217506,10140330.975462534,0.06,0.005143012831822946
228,10140330.975462534,-91739.7031406838,52623.67079617567,-39116.03234450814,43265.41216197348,4149.379817465342,10179447.007807042,0.06,0.005143012831822946
229,10179447.007807042,-91906.59821202038,52825.70339594693,-39080.89481607345,43432.30723331005,4351.412417236599,10218527.902623115,0.06,0.005143012831822946
230,10218527.902623115,-92073.34336323562,53027.55451191746,-39045.78885131816,43599.05238452529,4553.2635332071295,10257573.691474434,0.06,0.005143012831822946
231,10257573.691474434,-92239.93872900124,53229.224307112294,-39010.714421888944,43765.64775029092,4754.933328401974,10296584.405896323,0.06,0.005143012831822946
232,10296584.405896323,-92406.38444386798,53430.712944410014,-38975.67149945797,43932.093465157646,4956.421965699679,10335560.07739578,0.06,0.005143012831822946
233,10335560.07739578,-92572.68064226565,53632.02058654288,-38940.66005572277,44098.38966355533,5157.72960783256,10374500.737451503,0.06,0.005143012831822946
234,10374500.737451503,-92738.82745850341,53833.14739609699,-38905.68006240642,44264.53647979308,5358.856417386662,10413406.417513909,0.06,0.005143012831822946
235,10413406.417513909,-92904.82502676967,54034.09353551239,-38870.731491257284,44430.534048059344,5559.80255680206,10452277.149005165,0.06,0.005143012831822946
236,10452277.149005165,-93070.67348113237,54234.859167083196,-38835.814314049174,44596.38250242204,5760.5681883728685,10491112.963319214,0.06,0.005143012831822946
237,10491112.963319214,-93236.37295553897,54435.44445295774,-38800.928502581235,44762.081976828646,5961.1534742474105,10529913.891821796,0.06,0.005143012831822946
238,10529913.891821796,-93401.92358381665,54635.84955513871,-38766.07402867794,44927.63260510633,6161.55857642839,10568679.965850474,0.06,0.005143012831822946
239,10568679.965850474,-93567.32549967236,54836.07463548326,-38731.250864189096,45093.03452096203,6361.783656772932,10607411.216714663,0.06,0.005143012831822946
